VNDOR_ID,VNDOR_NM,WK_START_DT,PO_CNT,PO_LINE_CNT,RCVD_QTY,RJCTD_QTY,OTD_PCT,OTIF_PCT,FILL_RATE_PCT,DEFCT_RATE_PCT,LT_ACTV_DAYS,LT_AGRD_DAYS,LT_DELTA_DAYS,COST_VAR_PCT,VNDOR_STS_CD,CRTCL_MATL_FLG,ALTN_VNDOR_AVAIL_FLG
V002,SugarSource Co,2026-03-27,67,147,49335,361,0.8077,0.7553,0.9783,0.02886,12,10,2,0.0654,APRVD,N,N
V002,SugarSource Co,2026-04-03,12,241,30024,486,0.8182,0.9303,0.9798,0.00976,9,14,2,-0.0104,APRVD,N,Y
V002,SugarSource Co,2026-04-10,80,113,46147,177,0.7671,0.816,0.9318,0.01404,9,12,11,-0.0363,APRVD,Y,Y
V002,SugarSource Co,2026-04-17,66,139,19168,174,0.7871,0.9405,0.9291,0.00297,10,18,4,0.0352,APRVD,N,Y
V002,SugarSource Co,2026-04-24,77,295,25530,97,0.9129,0.813,0.8104,0.00998,4,15,-3,0.0287,APRVD,Y,N
V002,SugarSource Co,2026-05-01,46,69,2857,249,0.9113,0.786,0.8677,0.02184,18,6,13,0.0479,SUSP,Y,Y
V002,SugarSource Co,2026-05-08,43,194,26773,156,0.7392,0.8522,0.8297,0.03271,5,9,5,-0.0007,APRVD,N,Y
V003,FlavourTech Inc,2026-02-20,67,284,5939,300,0.7446,0.7523,0.9857,0.03897,14,5,6,0.0024,APRVD,N,Y
V003,FlavourTech Inc,2026-02-27,13,260,8213,170,0.9068,0.9289,0.8597,0.02035,6,17,8,-0.0247,APRVD,Y,Y
V003,FlavourTech Inc,2026-03-06,21,162,27842,125,0.7247,0.9073,0.8229,0.01701,5,16,8,0.0121,APRVD,Y,Y
V003,FlavourTech Inc,2026-03-13,14,180,3722,148,0.7615,0.7712,0.9069,0.01603,28,16,8,0.0365,APRVD,N,Y
V003,FlavourTech Inc,2026-03-20,29,130,46398,493,0.8341,0.9447,0.896,0.03006,21,6,-2,0.1172,APRVD,N,Y
V003,FlavourTech Inc,2026-03-27,11,130,40314,76,0.8511,0.8289,0.8952,0.00483,22,11,-4,0.0405,APRVD,N,Y
V003,FlavourTech Inc,2026-04-03,19,217,16930,284,0.8612,0.7982,0.8966,0.0286,26,16,-3,-0.0649,PNDNG,N,Y
V003,FlavourTech Inc,2026-04-10,49,38,44308,302,0.8231,0.968,0.9442,0.02192,8,17,10,-0.003,APRVD,Y,Y
V003,FlavourTech Inc,2026-04-17,24,269,11262,421,0.7205,0.8651,0.9053,0.02726,12,19,-1,-0.0273,APRVD,Y,Y
V003,FlavourTech Inc,2026-04-24,33,34,35961,113,0.7334,0.7961,0.8843,0.03549,27,16,-2,-0.0309,APRVD,N,Y
V003,FlavourTech Inc,2026-05-01,75,124,27978,236,0.9608,0.7555,0.8914,0.02301,16,17,11,-0.0418,APRVD,N,Y
V003,FlavourTech Inc,2026-05-08,67,71,6505,217,0.8022,0.805,0.8667,0.0247,14,17,1,0.0051,SUSP,Y,N
V004,PotatoFarm Direct,2026-02-20,69,44,42013,335,0.8385,0.8507,0.8278,0.02907,7,16,11,0.0334,APRVD,N,Y
V004,PotatoFarm Direct,2026-02-27,65,264,32595,406,0.7853,0.8763,0.8189,0.02031,20,20,-2,-0.0297,APRVD,Y,Y
V004,PotatoFarm Direct,2026-03-06,52,164,36881,246,0.9018,0.6837,0.8197,0.01124,4,9,6,0.0498,APRVD,N,N
V004,PotatoFarm Direct,2026-03-13,42,36,34245,381,0.9144,0.8731,0.9114,0.02247,9,20,7,-0.0015,APRVD,Y,Y
V004,PotatoFarm Direct,2026-03-20,22,178,25740,49,0.8258,0.6838,0.9517,0.03111,10,21,2,0.0125,APRVD,Y,Y
V004,PotatoFarm Direct,2026-03-27,25,177,41531,479,0.781,0.6852,0.9314,0.02884,6,19,13,-0.0073,APRVD,N,Y
V004,PotatoFarm Direct,2026-04-03,39,231,26394,78,0.8582,0.824,0.837,0.00489,22,17,0,0.0278,APRVD,N,Y
V004,PotatoFarm Direct,2026-04-10,26,85,17371,19,0.755,0.94,0.8545,0.01552,26,19,9,0.033,APRVD,N,Y
V004,PotatoFarm Direct,2026-04-17,51,60,44207,188,0.86,0.8936,0.957,0.00499,19,10,11,0.0157,APRVD,N,Y
V004,PotatoFarm Direct,2026-04-24,74,78,12776,111,0.8764,0.8215,0.9051,0.03108,18,6,13,0.0048,APRVD,N,Y
V004,PotatoFarm Direct,2026-05-01,46,91,32040,200,0.8851,0.9204,0.954,0.03436,12,14,4,0.0257,APRVD,Y,N
V004,PotatoFarm Direct,2026-05-08,37,294,36665,428,0.8261,0.89,0.8464,0.019,17,7,4,0.0332,APRVD,Y,Y
V005,GrainMills Supply,2026-02-20,19,292,3068,356,0.7612,0.8769,0.9199,0.03267,11,8,14,0.0157,APRVD,N,Y
V005,GrainMills Supply,2026-02-27,63,67,33857,290,0.945,0.716,0.8194,0.02363,28,9,5,-0.0642,APRVD,N,N
V005,GrainMills Supply,2026-03-06,23,175,48597,248,0.8305,0.8401,0.9476,0.01229,4,12,3,0.0295,APRVD,N,Y
V005,GrainMills Supply,2026-03-13,76,73,21450,4,0.9762,0.7791,0.8163,0.02845,8,15,-2,0.0205,APRVD,N,Y
V005,GrainMills Supply,2026-03-20,44,250,3526,257,0.8175,0.6804,0.9415,0.0319,28,17,9,0.0694,APRVD,N,Y
V005,GrainMills Supply,2026-03-27,30,73,18214,414,0.938,0.9012,0.874,0.01327,7,9,9,0.0532,APRVD,N,N
V005,GrainMills Supply,2026-04-03,11,252,48555,137,0.7274,0.7423,0.9887,0.01854,11,21,9,0.1295,APRVD,Y,Y
V005,GrainMills Supply,2026-04-10,41,65,13178,417,0.8901,0.9594,0.8135,0.0335,3,12,0,0.0128,APRVD,N,Y
V005,GrainMills Supply,2026-04-17,13,43,23785,250,0.9699,0.795,0.8166,0.03362,5,5,12,-0.0475,APRVD,N,Y
V005,GrainMills Supply,2026-04-24,33,222,3454,198,0.9714,0.6862,0.8534,0.01233,19,17,9,-0.0332,APRVD,N,Y
V005,GrainMills Supply,2026-05-01,79,285,39727,139,0.8574,0.8299,0.8888,0.03603,10,17,-2,0.0264,PNDNG,N,Y
V005,GrainMills Supply,2026-05-08,14,247,32869,486,0.9781,0.9299,0.9242,0.01321,12,11,1,0.0126,APRVD,N,Y
V006,CornAgri Cooperative,2026-02-20,18,76,5842,226,0.7488,0.884,0.8804,0.00303,4,13,14,0.1217,APRVD,Y,N
V006,CornAgri Cooperative,2026-02-27,50,191,39791,216,0.8409,0.746,0.8443,0.02682,12,18,5,0.0267,APRVD,Y,N
V006,CornAgri Cooperative,2026-03-06,18,265,45545,13,0.941,0.8908,0.8684,0.03637,27,6,4,-0.0562,APRVD,N,Y
V006,CornAgri Cooperative,2026-03-13,49,129,48142,197,0.9138,0.9576,0.9166,0.02626,17,12,-2,-0.05,SUSP,Y,N
V006,CornAgri Cooperative,2026-03-20,43,238,46512,467,0.7618,0.8269,0.9364,0.00694,9,16,11,-0.0218,APRVD,N,Y
V006,CornAgri Cooperative,2026-03-27,66,218,37268,232,0.8992,0.7556,0.8149,0.03709,10,13,13,0.0414,APRVD,Y,N
V006,CornAgri Cooperative,2026-04-03,54,245,3187,220,0.7216,0.7855,0.9218,0.01963,10,15,9,-0.0096,APRVD,N,Y
V006,CornAgri Cooperative,2026-04-10,55,116,25313,384,0.791,0.7677,0.8396,0.02411,25,19,-5,-0.0057,APRVD,Y,N
V006,CornAgri Cooperative,2026-04-17,46,204,32850,2,0.9487,0.7469,0.9363,0.01077,7,20,-2,-0.0134,APRVD,N,N
V006,CornAgri Cooperative,2026-04-24,51,184,9266,309,0.9451,0.868,0.8626,0.02522,8,17,-4,-0.1337,APRVD,N,N
V006,CornAgri Cooperative,2026-05-01,19,48,6450,418,0.8082,0.7014,0.8134,0.02383,9,13,3,0.0912,APRVD,Y,N
V006,CornAgri Cooperative,2026-05-08,34,20,4072,344,0.9198,0.8285,0.9245,0.00854,12,17,13,-0.0066,APRVD,N,N
V007,CartonBox Global,2026-02-20,76,227,32330,65,0.7731,0.9503,0.814,0.01128,11,21,-2,-0.0948,SUSP,N,Y
V007,CartonBox Global,2026-02-27,57,205,21775,371,0.8331,0.8557,0.824,0.0038,19,9,-1,0.0141,APRVD,Y,Y
V007,CartonBox Global,2026-03-06,55,167,8966,246,0.8238,0.865,0.9192,0.02899,3,9,1,-0.0628,APRVD,N,Y
V007,CartonBox Global,2026-03-13,69,116,21766,467,0.8889,0.8514,0.8786,0.01904,11,5,2,0.054,APRVD,N,N
V007,CartonBox Global,2026-03-20,78,136,44161,91,0.9839,0.7206,0.9709,0.00682,23,17,9,0.0363,PNDNG,Y,N
V007,CartonBox Global,2026-03-27,77,184,11840,479,0.7704,0.7337,0.9168,0.0307,11,14,11,-0.0064,APRVD,N,N
V007,CartonBox Global,2026-04-03,59,297,29508,259,0.7505,0.9619,0.8221,0.01306,10,12,-4,0.0001,APRVD,Y,N
V007,CartonBox Global,2026-04-10,66,63,22885,162,0.9097,0.8522,0.9254,0.02808,27,17,0,0.015,APRVD,N,N
V007,CartonBox Global,2026-04-17,11,107,24352,295,0.7465,0.7241,0.9355,0.01139,15,12,9,0.0353,PNDNG,N,Y
V007,CartonBox Global,2026-04-24,7,130,10552,97,0.8075,0.7661,0.9017,0.00126,22,15,6,0.0549,APRVD,N,N
V007,CartonBox Global,2026-05-01,64,136,48283,233,0.9819,0.911,0.8372,0.03339,18,15,6,0.1264,APRVD,Y,Y
V007,CartonBox Global,2026-05-08,15,57,5219,245,0.9024,0.9664,0.983,0.01879,9,21,8,0.0625,APRVD,N,N
V008,NaturalOils Corp,2026-02-20,64,240,7820,52,0.7633,0.9549,0.8554,0.03416,9,11,-5,0.028,APRVD,N,Y
V008,NaturalOils Corp,2026-02-27,70,94,38882,493,0.7649,0.7533,0.9211,0.00643,17,12,0,-0.0499,APRVD,Y,Y
V008,NaturalOils Corp,2026-03-06,71,288,14285,42,0.7664,0.808,0.9361,0.03928,27,14,12,-0.0086,APRVD,Y,N
V008,NaturalOils Corp,2026-03-13,7,171,10026,278,0.8469,0.9206,0.8132,0.02759,8,20,14,0.0359,APRVD,N,Y
V008,NaturalOils Corp,2026-03-20,55,187,5339,80,0.8887,0.8919,0.8672,0.00456,25,5,-5,0.1102,APRVD,Y,Y
V008,NaturalOils Corp,2026-03-27,73,151,47530,65,0.7548,0.9344,0.8395,0.00286,9,18,-5,-0.0178,SUSP,Y,Y
V008,NaturalOils Corp,2026-04-03,9,98,49878,334,0.8628,0.6808,0.9718,0.02712,24,9,3,0.0279,APRVD,N,N
V008,NaturalOils Corp,2026-04-10,78,92,37716,15,0.9534,0.7124,0.879,0.01646,6,18,8,0.0623,APRVD,N,Y
V008,NaturalOils Corp,2026-04-17,44,24,17300,105,0.9517,0.7537,0.8529,0.01086,3,17,-2,-0.026,APRVD,Y,Y
V008,NaturalOils Corp,2026-04-24,42,189,37196,14,0.747,0.8914,0.818,0.01688,7,18,0,0.0253,APRVD,N,Y
V008,NaturalOils Corp,2026-05-01,20,203,1397,162,0.9409,0.8697,0.9832,0.01691,21,18,-2,-0.0004,APRVD,N,N
V008,NaturalOils Corp,2026-05-08,52,101,46752,125,0.908,0.7186,0.9507,0.02255,4,15,11,-0.0755,APRVD,Y,Y
