SKU_CD,PLNT_CD,SLOC_CD,SNAP_DT,OH_STK_QTY,INTR_TRNSIT_QTY,OPEN_PO_QTY,RSVD_SO_QTY,AVAIL_STK_QTY,SS_QTY,ROP_VAL,LT_DAYS,MOQ_QTY,DOH_CNT,DOS_CNT,INV_STS_CD,LAST_GR_DT,LAST_GI_DT,EOQ_QTY
RF01004,PLNT_ATL,SL78,2026-05-15,9548,109,1164,3803,7070,1508,2056,17,1000,20.7,65.2,OK,2026-04-29,2026-05-11,2657
RF01004,PLNT_LAX,SL39,2026-05-15,6750,1678,3467,5944,5000,1168,1856,12,100,33.4,82.4,OK,2026-04-15,2026-05-13,3115
RF01005,PLNT_CHI,SL25,2026-05-15,7860,727,4770,7740,5820,647,1257,19,250,33.2,23.6,EXCESS,2026-04-26,2026-05-13,4097
RF01005,PLNT_DAL,SL14,2026-05-15,3826,279,4627,3399,3645,413,1034,15,250,17.5,25.7,EXCESS,2026-04-24,2026-05-11,1840
RF01005,PLNT_ATL,SL21,2026-05-15,13461,769,3054,1130,8956,664,996,8,500,59.3,37.4,OK,2026-05-08,2026-05-09,3687
RF01005,PLNT_LAX,SL59,2026-05-15,392,1733,3857,363,327,1155,1467,12,500,1.6,2.6,OK,2026-04-22,2026-05-10,4962
RF01006,PLNT_CHI,SL88,2026-05-15,4643,235,3479,521,2833,1531,1715,18,500,91.0,107.5,EXCESS,2026-04-17,2026-05-13,1130
RF01006,PLNT_DAL,SL92,2026-05-15,8415,1708,2348,1620,6548,1560,1756,15,100,18.6,20.2,OK,2026-04-30,2026-05-09,979
RF01006,PLNT_ATL,SL98,2026-05-15,11554,997,3684,4715,11343,1409,1770,20,250,27.1,34.3,CRIT,2026-04-18,2026-05-13,4891
RF01006,PLNT_LAX,SL13,2026-05-15,6636,1662,1241,3479,4038,791,1571,10,250,29.1,19.6,LOW,2026-04-27,2026-05-09,2033
RF01007,PLNT_CHI,SL67,2026-05-15,1909,941,1008,1228,1145,1342,1635,16,1000,7.9,13.8,OK,2026-05-13,2026-05-15,1643
RF01007,PLNT_DAL,SL32,2026-05-15,5135,1661,262,1101,4611,1729,2232,10,500,43.5,19.5,EXCESS,2026-05-07,2026-05-15,1092
RF01007,PLNT_ATL,SL63,2026-05-15,14739,999,2933,10112,8674,627,1175,16,250,254.1,51.8,CRIT,2026-04-26,2026-05-14,3182
RF01007,PLNT_LAX,SL25,2026-05-15,2453,561,2406,110,2117,1501,1912,11,1000,15.5,7.7,CRIT,2026-05-13,2026-05-08,2990
RF01008,PLNT_CHI,SL27,2026-05-15,13950,1778,3087,13329,13520,1009,1478,16,500,131.6,65.9,OK,2026-04-21,2026-05-13,3609
RF01008,PLNT_DAL,SL92,2026-05-15,3574,781,2743,1458,2381,336,1017,21,500,8.2,11.2,OK,2026-04-24,2026-05-08,3577
RF01008,PLNT_ATL,SL13,2026-05-15,13939,443,4485,5298,13919,738,932,12,100,98.9,68.0,OK,2026-04-22,2026-05-12,2720
RF01008,PLNT_LAX,SL71,2026-05-15,12771,288,1479,8739,8381,790,1589,11,1000,76.5,302.3,OK,2026-04-21,2026-05-12,2412
RF01010,PLNT_CHI,SL99,2026-05-15,1083,171,3062,987,784,717,1186,11,1000,3.1,15.0,OK,2026-05-12,2026-05-11,4251
RF01010,PLNT_DAL,SL37,2026-05-15,8617,130,1097,132,6246,1258,1835,21,500,151.2,51.4,OK,2026-05-01,2026-05-08,4067
RF01010,PLNT_ATL,SL99,2026-05-15,6961,1082,3063,4112,6750,394,1020,9,100,87.0,17.5,LOW,2026-04-30,2026-05-12,1202
RF01010,PLNT_LAX,SL21,2026-05-15,5112,1921,531,2049,4175,622,1318,5,500,18.9,21.9,OK,2026-04-25,2026-05-14,621
RF01011,PLNT_CHI,SL22,2026-05-15,7960,92,3320,5168,5812,1835,2496,5,1000,37.4,47.5,OK,2026-04-21,2026-05-08,933
RF01011,PLNT_DAL,SL64,2026-05-15,6660,1683,4736,5378,5850,1515,2176,3,250,38.1,111.8,OK,2026-05-07,2026-05-13,2107
RF01011,PLNT_ATL,SL34,2026-05-15,200,111,1515,128,145,1027,1161,4,250,0.4,4.1,LOW,2026-05-05,2026-05-15,3174
RF01011,PLNT_LAX,SL22,2026-05-15,14999,196,2369,12914,13743,1901,2142,8,500,238.1,64.3,OK,2026-05-12,2026-05-10,1117
RF01012,PLNT_CHI,SL12,2026-05-15,4195,195,3291,3476,3172,854,1556,21,250,27.1,51.8,OK,2026-04-18,2026-05-13,2776
RF01012,PLNT_DAL,SL33,2026-05-15,612,1361,1442,48,422,264,691,10,250,2.5,3.1,OK,2026-04-15,2026-05-15,1118
RF01012,PLNT_ATL,SL36,2026-05-15,1865,457,4717,206,1668,1752,2064,11,500,11.2,32.3,OK,2026-04-29,2026-05-09,1456
RF01012,PLNT_LAX,SL52,2026-05-15,13051,1704,3372,11129,10731,639,901,10,500,59.3,84.8,OK,2026-04-29,2026-05-09,2944
RF01013,PLNT_CHI,SL10,2026-05-15,12656,354,2160,9562,8462,1846,2251,17,1000,46.9,97.4,OK,2026-04-22,2026-05-15,3421
RF01013,PLNT_DAL,SL45,2026-05-15,4055,1355,4692,2253,2751,1095,1659,18,250,11.0,39.5,LOW,2026-04-19,2026-05-12,3418
RF01013,PLNT_ATL,SL59,2026-05-15,6631,1965,3311,3038,5270,1909,2103,13,250,19.6,37.1,OK,2026-04-17,2026-05-09,1791
RF01013,PLNT_LAX,SL89,2026-05-15,6057,1876,3412,3411,4828,1812,2164,19,100,58.8,24.5,LOW,2026-05-04,2026-05-12,2541
RF01014,PLNT_CHI,SL46,2026-05-15,6624,1798,3617,6368,5515,1938,2633,14,250,15.0,30.3,LOW,2026-04-24,2026-05-12,3269
RF01014,PLNT_DAL,SL91,2026-05-15,3414,1803,4723,2258,2720,1349,2043,16,250,7.9,34.7,OK,2026-04-17,2026-05-09,4545
RF01014,PLNT_ATL,SL70,2026-05-15,9705,167,1283,7498,6278,508,912,6,500,64.7,37.2,EXCESS,2026-05-05,2026-05-11,2240
RF01014,PLNT_LAX,SL74,2026-05-15,10802,1534,3515,4036,6070,786,1306,20,500,171.5,27.7,OK,2026-04-22,2026-05-13,2925
RF01015,PLNT_CHI,SL63,2026-05-15,9265,196,2903,3679,5169,1163,1867,10,100,100.7,38.6,CRIT,2026-04-29,2026-05-12,4283
RF01015,PLNT_DAL,SL36,2026-05-15,1448,970,1071,777,1388,259,609,3,1000,5.0,31.7,LOW,2026-04-21,2026-05-15,1281
RF01015,PLNT_ATL,SL80,2026-05-15,4487,1851,156,1146,2904,1298,2026,16,1000,10.6,16.4,OK,2026-05-11,2026-05-14,2838
RF01015,PLNT_LAX,SL66,2026-05-15,6524,812,1506,2648,3893,1805,2106,21,500,34.0,16.4,OK,2026-04-19,2026-05-13,3683
RF01016,PLNT_CHI,SL36,2026-05-15,13802,1878,1566,9795,12911,1638,2041,14,1000,48.4,33.2,EXCESS,2026-04-18,2026-05-11,592
RF01016,PLNT_DAL,SL95,2026-05-15,3526,224,1487,2629,2679,1009,1695,11,100,8.6,12.2,OK,2026-05-01,2026-05-14,3858
RF01016,PLNT_ATL,SL37,2026-05-15,7397,673,1807,4915,6943,1576,1702,16,250,112.1,31.4,OK,2026-05-04,2026-05-15,1430
RF01016,PLNT_LAX,SL84,2026-05-15,6575,69,666,1594,5648,1789,2141,21,500,39.1,40.7,OK,2026-04-16,2026-05-09,4448
RF01017,PLNT_CHI,SL46,2026-05-15,10760,93,4614,8937,8587,1838,2148,11,100,113.3,169.7,EXCESS,2026-04-18,2026-05-09,4543
RF01017,PLNT_DAL,SL79,2026-05-15,9838,186,849,6561,9753,643,781,5,500,50.7,31.7,LOW,2026-04-24,2026-05-14,704
RF01017,PLNT_ATL,SL29,2026-05-15,779,1084,4602,427,566,1937,2356,8,100,7.1,7.4,EXCESS,2026-04-22,2026-05-14,824
RF01017,PLNT_LAX,SL43,2026-05-15,4037,1027,2696,1238,2904,797,1044,6,250,22.1,58.4,OK,2026-05-09,2026-05-14,3985
RF01018,PLNT_CHI,SL72,2026-05-15,1005,1714,4847,102,900,1624,2213,21,100,3.1,32.1,OK,2026-04-20,2026-05-08,1310
RF01018,PLNT_DAL,SL36,2026-05-15,14011,1795,1107,12823,8233,1637,1825,18,100,140.1,41.1,OK,2026-04-18,2026-05-15,1608
RF01018,PLNT_ATL,SL76,2026-05-15,4971,1137,723,2370,4595,1150,1935,3,250,44.8,11.5,OK,2026-04-18,2026-05-11,3097
RF01018,PLNT_LAX,SL70,2026-05-15,2239,1739,4178,1509,1234,1192,1368,9,1000,9.2,7.0,OK,2026-04-26,2026-05-14,2456
RF01020,PLNT_CHI,SL48,2026-05-15,9078,1258,910,6208,8078,1815,1996,4,1000,20.2,58.4,OK,2026-04-25,2026-05-13,1474
RF01020,PLNT_DAL,SL20,2026-05-15,5707,1884,2748,1784,4350,781,930,5,250,75.1,20.8,LOW,2026-04-15,2026-05-13,3682
RF01020,PLNT_ATL,SL53,2026-05-15,1088,342,2647,359,580,1032,1693,11,500,2.5,26.9,OK,2026-04-25,2026-05-10,2818
RF01020,PLNT_LAX,SL76,2026-05-15,7971,1076,2940,3489,6372,1675,1841,17,500,22.2,29.5,OK,2026-04-15,2026-05-12,978
RF01021,PLNT_CHI,SL65,2026-05-15,501,924,2849,480,332,956,1164,21,500,2.0,5.7,OK,2026-04-29,2026-05-11,1693
RF01021,PLNT_DAL,SL29,2026-05-15,13954,798,3311,2183,7725,577,1136,5,1000,36.3,60.1,OK,2026-05-07,2026-05-09,565
RF01021,PLNT_ATL,SL47,2026-05-15,7805,1759,2248,911,4370,246,1025,4,100,47.9,16.7,OK,2026-04-25,2026-05-09,1974
RF01021,PLNT_LAX,SL10,2026-05-15,4270,7,3373,3351,4029,282,906,17,100,10.8,11.7,LOW,2026-04-30,2026-05-13,4893
RF01023,PLNT_CHI,SL34,2026-05-15,2305,1027,911,498,1586,215,798,16,250,4.7,37.9,OK,2026-05-11,2026-05-13,1982
RF01023,PLNT_DAL,SL78,2026-05-15,2867,568,3858,1338,2549,1338,1596,12,100,9.0,15.7,EXCESS,2026-04-27,2026-05-11,761
RF01023,PLNT_ATL,SL67,2026-05-15,21,1239,948,7,16,758,952,4,500,0.0,1.1,OK,2026-05-08,2026-05-10,743
RF01023,PLNT_LAX,SL66,2026-05-15,13533,1899,1192,2698,7257,1946,2367,9,500,35.7,44.5,OK,2026-04-19,2026-05-15,4077
RF01025,PLNT_CHI,SL81,2026-05-15,4739,83,4905,3804,2592,440,1194,14,1000,27.4,42.2,EXCESS,2026-05-15,2026-05-14,694
RF01025,PLNT_DAL,SL41,2026-05-15,14662,617,632,10047,11935,814,1018,12,500,29.6,33.6,LOW,2026-04-21,2026-05-14,2651
RF01025,PLNT_ATL,SL46,2026-05-15,4717,1500,1055,4510,4568,1161,1830,16,1000,33.9,13.4,OK,2026-04-28,2026-05-12,684
RF01025,PLNT_LAX,SL96,2026-05-15,6316,465,3806,4573,3920,654,1106,18,100,14.2,17.4,OK,2026-05-08,2026-05-08,2552
RF01026,PLNT_CHI,SL50,2026-05-15,14808,1667,2719,9052,12161,690,1202,21,100,65.5,37.3,OK,2026-04-27,2026-05-11,670
RF01026,PLNT_DAL,SL63,2026-05-15,8924,1234,3521,800,6483,1755,2139,8,100,38.3,30.2,LOW,2026-04-28,2026-05-09,621
RF01026,PLNT_ATL,SL63,2026-05-15,6181,941,1970,1913,4329,336,485,15,500,14.1,30.4,OK,2026-05-14,2026-05-14,3769
RF01026,PLNT_LAX,SL38,2026-05-15,5215,856,4588,566,3991,494,1048,16,100,14.9,94.6,OK,2026-05-08,2026-05-15,4694
RF01027,PLNT_CHI,SL91,2026-05-15,4593,1255,3258,2422,3490,598,1188,15,250,22.5,14.5,CRIT,2026-04-18,2026-05-13,3146
RF01027,PLNT_DAL,SL96,2026-05-15,13151,377,1969,12188,11998,1994,2103,20,500,73.9,87.7,OK,2026-05-15,2026-05-15,2743
RF01027,PLNT_ATL,SL52,2026-05-15,1310,700,2020,815,696,1130,1359,12,100,12.5,8.2,OK,2026-05-01,2026-05-11,735
RF01027,PLNT_LAX,SL11,2026-05-15,6294,332,2273,1347,4783,556,1166,21,1000,22.4,38.1,EXCESS,2026-05-09,2026-05-12,1682
RF01028,PLNT_CHI,SL33,2026-05-15,10167,1906,1820,1352,7528,1827,2273,12,500,27.0,26.7,OK,2026-05-03,2026-05-12,877
RF01028,PLNT_DAL,SL33,2026-05-15,4579,1853,4915,742,2767,241,484,16,1000,35.2,16.7,OK,2026-05-10,2026-05-13,1573
RF01028,PLNT_ATL,SL79,2026-05-15,433,1899,1448,61,342,818,1007,16,1000,1.1,4.0,OK,2026-05-03,2026-05-09,2219
RF01028,PLNT_LAX,SL26,2026-05-15,7779,1678,2907,6156,7644,1958,2063,15,250,48.6,17.3,OK,2026-05-10,2026-05-15,2974
RF01029,PLNT_CHI,SL29,2026-05-15,8710,92,3424,1560,8311,1797,2263,3,250,83.8,64.4,LOW,2026-05-09,2026-05-10,2348
RF01029,PLNT_DAL,SL10,2026-05-15,8018,119,177,1505,5116,1437,2035,5,100,23.1,47.6,OK,2026-05-03,2026-05-13,2009
RF01029,PLNT_ATL,SL18,2026-05-15,13790,1052,3018,5798,8878,897,1382,11,1000,66.3,32.7,OK,2026-04-26,2026-05-13,2358
RF01029,PLNT_LAX,SL39,2026-05-15,7,169,3154,7,4,785,1237,9,250,0.0,5.0,OK,2026-05-05,2026-05-09,2872
RF01030,PLNT_CHI,SL11,2026-05-15,7226,1602,968,5037,6015,1703,2097,10,1000,16.5,57.8,LOW,2026-04-23,2026-05-14,1157
RF01030,PLNT_DAL,SL64,2026-05-15,10978,696,478,5645,9530,1124,1734,16,1000,28.4,33.9,CRIT,2026-05-02,2026-05-14,1524
RF01030,PLNT_ATL,SL99,2026-05-15,434,1327,2630,244,294,1805,2494,8,100,5.6,5.4,OK,2026-04-22,2026-05-15,1776
RF01030,PLNT_LAX,SL71,2026-05-15,2163,1282,4481,1809,2114,703,873,6,1000,8.8,10.0,OK,2026-05-02,2026-05-12,3246
RF01032,PLNT_CHI,SL25,2026-05-15,4031,1104,2914,2399,3713,477,731,9,1000,46.9,18.9,CRIT,2026-04-29,2026-05-11,4699
RF01032,PLNT_DAL,SL20,2026-05-15,6023,585,1247,4966,4747,1048,1373,18,100,40.7,87.3,OK,2026-04-22,2026-05-12,4215
RF01032,PLNT_ATL,SL41,2026-05-15,13601,1439,599,3394,12428,889,1240,21,250,74.7,68.1,OK,2026-04-25,2026-05-09,3612
RF01032,PLNT_LAX,SL23,2026-05-15,10036,1005,4536,3304,5966,627,856,18,500,38.5,33.5,OK,2026-05-05,2026-05-12,4790
RF01033,PLNT_CHI,SL95,2026-05-15,2284,1783,248,1588,1561,284,480,6,500,17.2,19.2,OK,2026-05-10,2026-05-09,4146
RF01033,PLNT_DAL,SL28,2026-05-15,14185,999,1499,4581,11597,1824,2149,14,100,62.8,32.6,EXCESS,2026-04-30,2026-05-10,3713
RF01033,PLNT_ATL,SL43,2026-05-15,5144,1083,3615,4188,3942,1738,2233,18,1000,14.7,52.6,OK,2026-04-19,2026-05-11,3511
RF01033,PLNT_LAX,SL90,2026-05-15,13606,282,2579,95,10221,446,568,12,1000,39.3,41.6,OK,2026-05-03,2026-05-10,1399
RF01034,PLNT_CHI,SL26,2026-05-15,2342,1537,3664,1711,1334,1876,2664,4,1000,16.6,28.5,LOW,2026-04-23,2026-05-15,4111
RF01034,PLNT_DAL,SL27,2026-05-15,9573,149,1073,9429,8670,1792,2112,11,500,46.9,23.0,LOW,2026-05-04,2026-05-15,2024
RF01034,PLNT_ATL,SL69,2026-05-15,2414,1126,51,1175,1708,1812,2112,12,1000,8.0,15.8,OK,2026-04-17,2026-05-13,3560
RF01034,PLNT_LAX,SL68,2026-05-15,1904,49,1667,471,1239,1969,2601,12,100,5.3,34.5,OK,2026-05-01,2026-05-13,2490
RF01036,PLNT_CHI,SL82,2026-05-15,3163,1430,2209,1297,3032,1110,1870,7,100,7.6,16.0,OK,2026-04-22,2026-05-08,596
RF01036,PLNT_DAL,SL76,2026-05-15,6478,873,1642,35,6016,603,1119,10,250,77.1,15.4,CRIT,2026-05-15,2026-05-15,4743
RF01036,PLNT_ATL,SL42,2026-05-15,4787,1583,4449,1667,3949,1230,1604,7,1000,11.0,21.3,CRIT,2026-04-24,2026-05-09,687
RF01036,PLNT_LAX,SL73,2026-05-15,12943,1482,702,11424,11249,1243,1513,20,1000,52.8,26.7,OK,2026-04-24,2026-05-11,2843
RF01037,PLNT_CHI,SL81,2026-05-15,14592,758,3434,4586,9937,1090,1803,7,100,35.1,137.1,CRIT,2026-05-11,2026-05-11,3527
RF01037,PLNT_DAL,SL57,2026-05-15,12510,102,7,1268,11623,1975,2170,21,250,57.1,54.8,OK,2026-05-04,2026-05-15,4930
RF01037,PLNT_ATL,SL46,2026-05-15,14381,522,558,1003,12073,299,620,19,100,177.5,89.6,OK,2026-05-03,2026-05-09,4669
RF01037,PLNT_LAX,SL76,2026-05-15,5569,1299,844,2248,3460,355,673,13,250,14.7,22.0,OK,2026-05-05,2026-05-10,4642
RF01038,PLNT_CHI,SL61,2026-05-15,818,1057,2603,390,674,603,746,3,100,2.9,4.2,CRIT,2026-05-01,2026-05-11,795
RF01038,PLNT_DAL,SL94,2026-05-15,1494,210,3316,1241,955,1445,1583,7,1000,3.7,10.0,LOW,2026-04-30,2026-05-14,4071
RF01038,PLNT_ATL,SL64,2026-05-15,1530,1636,4238,865,1415,418,892,19,1000,16.5,11.3,OK,2026-04-19,2026-05-09,4092
RF01038,PLNT_LAX,SL30,2026-05-15,5836,847,537,3903,5666,1386,2019,9,250,14.0,14.5,OK,2026-04-28,2026-05-12,3571
RF01039,PLNT_CHI,SL85,2026-05-15,3106,712,3456,1340,2206,723,1188,20,100,7.6,11.3,OK,2026-05-04,2026-05-12,2527
RF01039,PLNT_DAL,SL46,2026-05-15,9478,326,3177,6556,8315,1543,2250,19,250,96.7,25.5,LOW,2026-05-05,2026-05-15,1045
RF01039,PLNT_ATL,SL64,2026-05-15,11162,1122,3972,9908,9458,876,1528,11,1000,214.7,226.2,OK,2026-04-29,2026-05-10,2175
RF01039,PLNT_LAX,SL59,2026-05-15,2581,880,4853,2294,2127,1891,2464,8,1000,14.3,45.6,LOW,2026-04-20,2026-05-15,1848
RF01040,PLNT_CHI,SL64,2026-05-15,5241,218,1954,36,3012,457,1087,14,500,18.1,113.6,OK,2026-04-27,2026-05-08,1524
RF01040,PLNT_DAL,SL81,2026-05-15,14516,1771,1367,7926,8017,1678,1786,17,250,49.5,58.1,EXCESS,2026-04-15,2026-05-14,1490
RF01040,PLNT_ATL,SL50,2026-05-15,14398,262,3938,10690,10270,1756,2369,12,250,57.8,304.2,LOW,2026-05-14,2026-05-15,4125
RF01040,PLNT_LAX,SL28,2026-05-15,14866,1467,2282,2307,13282,369,618,5,100,74.0,89.0,OK,2026-04-17,2026-05-15,3357
RF01041,PLNT_CHI,SL22,2026-05-15,12105,1551,3499,1971,6553,1548,2143,17,1000,35.0,38.8,OK,2026-05-03,2026-05-10,4059
RF01041,PLNT_DAL,SL62,2026-05-15,5732,606,333,4974,3236,1780,2288,15,1000,13.6,35.1,OK,2026-05-08,2026-05-12,2855
RF01041,PLNT_ATL,SL29,2026-05-15,12762,330,2306,2267,7237,744,860,3,500,52.3,37.6,OK,2026-04-21,2026-05-08,2140
RF01041,PLNT_LAX,SL43,2026-05-15,11379,499,108,7514,11205,573,803,5,100,48.4,72.9,OK,2026-05-08,2026-05-09,910
RF01042,PLNT_CHI,SL20,2026-05-15,12488,1859,2693,608,6384,433,875,18,100,30.5,178.9,OK,2026-04-23,2026-05-13,3932
RF01042,PLNT_DAL,SL61,2026-05-15,146,714,4591,146,120,262,878,4,250,0.4,2.5,OK,2026-05-05,2026-05-08,2165
RF01042,PLNT_ATL,SL55,2026-05-15,3615,1007,731,2458,3233,852,1247,19,250,34.4,14.0,OK,2026-04-27,2026-05-14,2565
RF01042,PLNT_LAX,SL46,2026-05-15,6298,1390,1966,1276,6205,696,1313,16,1000,12.6,74.5,EXCESS,2026-04-15,2026-05-08,1636
RF01043,PLNT_CHI,SL28,2026-05-15,13390,1594,4247,2326,10848,1546,2063,16,500,53.3,70.9,OK,2026-04-17,2026-05-13,4580
RF01043,PLNT_DAL,SL14,2026-05-15,10974,1411,1157,340,6501,463,860,3,100,43.9,182.6,OK,2026-04-24,2026-05-09,643
RF01043,PLNT_ATL,SL45,2026-05-15,5236,426,1173,4059,4767,376,1079,3,500,20.5,51.7,LOW,2026-04-17,2026-05-12,2420
RF01043,PLNT_LAX,SL86,2026-05-15,5247,1459,1644,105,4881,1061,1832,9,1000,66.4,13.1,OK,2026-05-14,2026-05-12,1040
RF01044,PLNT_CHI,SL49,2026-05-15,9061,1748,4355,734,7640,1108,1741,6,100,28.4,69.6,OK,2026-04-15,2026-05-11,1028
RF01044,PLNT_DAL,SL89,2026-05-15,5490,1514,1885,404,4415,1313,2027,8,100,13.4,17.1,OK,2026-05-02,2026-05-14,2486
RF01044,PLNT_ATL,SL75,2026-05-15,12620,1615,674,2299,11497,1055,1558,8,100,31.9,56.6,OK,2026-05-04,2026-05-11,4259
RF01044,PLNT_LAX,SL54,2026-05-15,14649,1866,1804,1206,7865,1628,1990,17,100,29.8,220.7,EXCESS,2026-04-24,2026-05-12,2503
RF01045,PLNT_CHI,SL35,2026-05-15,137,1238,3668,128,100,1965,2692,16,1000,1.1,1.6,OK,2026-05-12,2026-05-11,1646
RF01045,PLNT_DAL,SL62,2026-05-15,10932,1502,2916,10610,10697,1064,1784,10,1000,25.0,135.1,OK,2026-04-30,2026-05-09,4423
RF01045,PLNT_ATL,SL71,2026-05-15,11306,815,1026,10783,6958,1975,2175,19,1000,34.6,47.1,EXCESS,2026-05-02,2026-05-10,701
RF01045,PLNT_LAX,SL68,2026-05-15,1438,1893,3289,352,832,1692,2462,15,250,11.0,8.2,OK,2026-05-01,2026-05-15,2095
RF01046,PLNT_CHI,SL51,2026-05-15,7332,346,1534,4508,4708,1518,2024,5,1000,20.5,24.3,OK,2026-04-26,2026-05-15,4299
RF01046,PLNT_DAL,SL82,2026-05-15,4774,1096,869,1110,3450,1389,2086,10,500,21.3,24.9,OK,2026-05-11,2026-05-09,3143
RF01046,PLNT_ATL,SL13,2026-05-15,9883,1124,1539,9126,6858,1912,2519,15,500,23.0,194.5,OK,2026-04-16,2026-05-14,2883
RF01046,PLNT_LAX,SL52,2026-05-15,2044,988,4517,1193,1852,1783,2334,6,1000,6.0,4.9,OK,2026-04-15,2026-05-10,3747
RF01047,PLNT_CHI,SL20,2026-05-15,5749,1327,935,2526,3597,1841,2036,20,1000,21.4,75.8,CRIT,2026-05-04,2026-05-15,535
RF01047,PLNT_DAL,SL86,2026-05-15,11770,1441,1482,8566,8107,1435,1723,11,500,34.9,60.4,LOW,2026-05-14,2026-05-12,636
RF01047,PLNT_ATL,SL25,2026-05-15,12680,208,1228,5568,7490,489,1192,9,100,226.4,34.1,OK,2026-04-19,2026-05-15,4541
RF01047,PLNT_LAX,SL94,2026-05-15,4509,1317,4921,2823,3898,550,1235,3,1000,31.8,31.2,CRIT,2026-05-02,2026-05-12,1475
RF01049,PLNT_CHI,SL15,2026-05-15,10387,27,4083,3204,10225,1348,1464,15,250,87.3,25.3,OK,2026-05-03,2026-05-09,1637
RF01049,PLNT_DAL,SL40,2026-05-15,4252,961,2361,203,2915,1637,2324,17,500,14.0,73.0,CRIT,2026-04-21,2026-05-11,2999
RF01049,PLNT_ATL,SL96,2026-05-15,6406,1591,4063,2094,6203,1558,2269,14,1000,15.3,24.4,EXCESS,2026-04-20,2026-05-12,3464
RF01049,PLNT_LAX,SL42,2026-05-15,10583,676,537,4598,7464,822,1181,14,250,27.5,37.3,EXCESS,2026-04-24,2026-05-09,3399
RF01050,PLNT_CHI,SL47,2026-05-15,14319,1150,1873,10835,11426,1252,1555,11,250,37.2,61.6,LOW,2026-04-18,2026-05-09,4551
RF01050,PLNT_DAL,SL40,2026-05-15,3536,315,240,3525,2179,1089,1590,12,500,7.6,18.6,OK,2026-04-30,2026-05-15,4660
RF01050,PLNT_ATL,SL93,2026-05-15,14763,836,4997,9189,12974,1447,1844,10,250,38.2,97.9,OK,2026-04-18,2026-05-09,3262
RF01050,PLNT_LAX,SL49,2026-05-15,14197,653,488,5917,8293,1296,1428,14,100,215.1,119.7,OK,2026-05-03,2026-05-08,1853
