PRMO_ID,SKU_CD,BRAND_NM,CAT_NM,CHNL_CD,REG_NM,PRMO_TYP_CD,PRMO_START_DT,PRMO_END_DT,DSCNT_PCT,BASE_SO_QTY,INCRMNTL_SO_QTY,TOT_SO_QTY,LIFT_FCTR,REV_AMT_USD,COGS_AMT_USD,GP_AMT_USD,GM_PCT,TRADE_SPEND_AMT,ROI_VAL,PRMO_STS_CD,APRVD_FLG
PRMO01011,RF01013,RefreshCo,Carbonated Soft Drinks,CONV_STORE,MIDWEST,TPR,2025-05-23,2026-05-10,0.14,16317,2711,19028,1.166,85095.96,54924.6,30171.36,0.3546,1973.61,15.287,CMPLTD,Y
PRMO01012,RF01012,NatureNosh,Carbonated Soft Drinks,GROCERY,NORTHEAST,DISP,2025-11-27,2026-05-12,0.25,13633,21296,34929,2.562,60515.45,40743.32,19772.13,0.3267,12298.44,1.608,CMPLTD,Y
PRMO01013,RF01054,NatureNosh,RTD Juice,MASS_MERCH,SOUTHEAST,COMBO,2025-10-25,2026-05-10,0.1,19936,22112,42048,2.109,95366.02,61523.1,33842.92,0.3549,5572.22,6.074,CMPLTD,Y
PRMO01014,RF01032,ZingEnergy,Salty Snacks,ECOMM,SOUTHWEST,TPR,2025-07-21,2026-05-13,0.22,6677,9468,16145,2.418,27832.17,16283.47,11548.7,0.4149,4603.34,2.509,CMPLTD,Y
PRMO01015,RF01040,SweetWave,Salty Snacks,MASS_MERCH,MIDWEST,DISP,2025-12-16,2026-05-10,0.05,7287,8270,15557,2.135,26603.88,17110.73,9493.15,0.3568,744.3,12.754,CMPLTD,Y
PRMO01016,RF01000,ZingEnergy,Carbonated Soft Drinks,CONV_STORE,SOUTHWEST,DISP,2026-01-25,2026-05-09,0.1,13404,11016,24420,1.822,32308.43,21378.55,10929.88,0.3383,1619.35,6.75,CMPLTD,Y
PRMO01017,RF01044,ZingEnergy,Sweet Snacks,GROCERY,WEST,COMBO,2025-09-27,2026-05-11,0.13,8539,14677,23216,2.719,66250.22,41134.49,25115.73,0.3791,6258.27,4.013,CMPLTD,Y
PRMO01018,RF01032,ZingEnergy,Salty Snacks,ECOMM,SOUTHEAST,COMBO,2025-06-25,2026-05-14,0.1,12861,19038,31899,2.48,63447.13,37266.52,26180.61,0.4126,4207.4,6.223,CMPLTD,Y
PRMO01019,RF01033,RefreshCo,Salty Snacks,CONV_STORE,SOUTHEAST,BOGOF,2025-06-18,2026-05-11,0.3,9814,4388,14202,1.447,62731.44,34706.57,28024.87,0.4467,8306.48,3.374,PNDNG,N
PRMO01020,RF01044,ZingEnergy,Sweet Snacks,GROCERY,SOUTHEAST,BOGOF,2025-10-02,2026-05-09,0.33,9912,15805,25717,2.595,56515.74,38234.55,18281.19,0.3235,17107.33,1.069,PNDNG,Y
PRMO01021,RF01032,ZingEnergy,Salty Snacks,DRUG_STORE,SOUTHWEST,FEAT,2026-04-16,2026-05-13,0.15,10285,6741,17026,1.655,31984.69,18052.76,13931.93,0.4356,2234.64,6.235,CMPLTD,Y
PRMO01022,RF01039,RefreshCo,Salty Snacks,CONV_STORE,MIDWEST,DISP,2025-07-31,2026-05-11,0.28,7599,818,8417,1.108,10908.98,7306.02,3602.96,0.3303,412.27,8.739,PNDNG,Y
PRMO01023,RF01018,SweetWave,Energy Drinks,DRUG_STORE,WEST,COMBO,2025-09-30,2026-05-12,0.23,10332,14023,24355,2.357,64887.49,39600.5,25286.99,0.3897,11159.5,2.266,CMPLTD,Y
PRMO01024,RF01017,ZingEnergy,Energy Drinks,CLUB,NORTHEAST,COMBO,2025-07-13,2026-05-15,0.26,15974,2042,18016,1.128,61462.46,38022.92,23439.54,0.3814,2447.54,9.577,CMPLTD,Y
PRMO01025,RF01033,RefreshCo,Salty Snacks,ECOMM,MIDWEST,COMBO,2026-03-17,2026-05-13,0.34,3688,875,4563,1.237,19004.5,11065.06,7939.44,0.4178,1877.23,4.229,CMPLTD,Y
PRMO01026,RF01030,CrunchBite,Salty Snacks,ECOMM,WEST,COMBO,2026-04-28,2026-05-10,0.05,15160,20275,35435,2.337,177743.6,106789.42,70954.18,0.3992,5352.6,13.256,CMPLTD,Y
PRMO01027,RF01020,ZingEnergy,Energy Drinks,CONV_STORE,SOUTHEAST,FEAT,2025-06-30,2026-05-10,0.27,9544,10088,19632,2.057,27230.36,15714.79,11515.57,0.4229,5175.14,2.225,CNCLD,Y
PRMO01028,RF01023,RefreshCo,Energy Drinks,GROCERY,MIDWEST,COMBO,2025-10-11,2026-05-09,0.35,1611,2579,4190,2.601,11357.58,6720.69,4636.89,0.4083,3764.05,1.232,ACTV,Y
PRMO01029,RF01015,RefreshCo,Energy Drinks,CLUB,MIDWEST,DISP,2025-07-25,2026-05-12,0.06,16875,11531,28406,1.683,60347.36,40657.44,19689.92,0.3263,1563.6,12.593,CMPLTD,Y
PRMO01030,RF01040,SweetWave,Salty Snacks,GROCERY,SOUTHEAST,FEAT,2026-04-10,2026-05-09,0.29,6499,10587,17086,2.629,21837.11,12417.8,9419.31,0.4313,5526.41,1.704,CMPLTD,Y
PRMO01031,RF01023,RefreshCo,Energy Drinks,CONV_STORE,WEST,TPR,2025-06-20,2026-05-12,0.1,17072,14123,31195,1.827,117078.32,71003.18,46075.14,0.3935,5889.29,7.824,ACTV,Y
PRMO01032,RF01047,SweetWave,Sweet Snacks,ECOMM,NORTHEAST,COMBO,2026-01-28,2026-05-13,0.28,10421,11192,21613,2.074,22564.67,13788.83,8775.84,0.3889,4543.95,1.931,CMPLTD,Y
PRMO01033,RF01053,NatureNosh,Sweet Snacks,DRUG_STORE,WEST,BOGOF,2025-10-27,2026-05-11,0.07,3771,516,4287,1.137,17903.07,11898.72,6004.35,0.3354,162.18,37.023,CMPLTD,N
PRMO01034,RF01045,SweetWave,Sweet Snacks,CONV_STORE,SOUTHEAST,COMBO,2025-09-15,2026-05-13,0.14,7828,803,8631,1.103,29320.22,20175.22,9145.0,0.3119,444.06,20.594,CMPLTD,Y
PRMO01035,RF01003,SweetWave,Carbonated Soft Drinks,MASS_MERCH,SOUTHWEST,DISP,2025-12-30,2026-05-13,0.17,8085,6131,14216,1.758,49205.16,27443.73,21761.43,0.4423,4346.27,5.007,CMPLTD,Y
PRMO01036,RF01044,ZingEnergy,Sweet Snacks,CLUB,SOUTHEAST,DISP,2026-03-16,2026-05-11,0.28,9459,7425,16884,1.785,39874.95,24189.26,15685.69,0.3934,6819.12,2.3,CMPLTD,N
PRMO01037,RF01013,RefreshCo,Carbonated Soft Drinks,CLUB,NORTHEAST,COMBO,2026-01-16,2026-05-09,0.25,8285,6050,14335,1.73,55909.64,31494.83,24414.81,0.4367,7865.0,3.104,CMPLTD,Y
PRMO01038,RF01018,SweetWave,Energy Drinks,DRUG_STORE,SOUTHEAST,COMBO,2026-01-03,2026-05-12,0.32,12708,11229,23937,1.884,56320.66,32438.39,23882.27,0.424,12432.75,1.921,CMPLTD,Y
PRMO01039,RF01002,ZingEnergy,Carbonated Soft Drinks,ECOMM,SOUTHWEST,COMBO,2025-12-24,2026-05-09,0.32,17693,20244,37937,2.144,39986.51,27479.71,12506.8,0.3128,10041.02,1.246,CMPLTD,Y
PRMO01040,RF01027,NatureNosh,Salty Snacks,ECOMM,MIDWEST,DISP,2025-07-12,2026-05-13,0.25,9933,12545,22478,2.263,63558.6,43928.04,19630.56,0.3089,11823.66,1.66,PNDNG,Y
PRMO01041,RF01034,NatureNosh,Salty Snacks,MASS_MERCH,SOUTHWEST,COMBO,2025-09-12,2026-05-12,0.31,9314,14836,24150,2.593,19996.44,13884.44,6112.0,0.3057,5518.99,1.107,CMPLTD,Y
PRMO01042,RF01017,ZingEnergy,Energy Drinks,CONV_STORE,NORTHEAST,FEAT,2025-07-07,2026-05-12,0.31,5924,819,6743,1.138,21449.66,13152.66,8297.0,0.3868,1170.43,7.089,CMPLTD,Y
PRMO01043,RF01004,CrunchBite,Carbonated Soft Drinks,MASS_MERCH,NORTHEAST,BOGOF,2025-07-11,2026-05-15,0.28,11390,15746,27136,2.382,49235.71,31892.98,17342.73,0.3522,11110.38,1.561,ACTV,Y
PRMO01044,RF01002,ZingEnergy,Carbonated Soft Drinks,CONV_STORE,SOUTHWEST,FEAT,2025-08-22,2026-05-14,0.27,19709,30487,50196,2.547,56797.29,38022.74,18774.55,0.3306,12758.81,1.471,CMPLTD,Y
PRMO01045,RF01017,ZingEnergy,Energy Drinks,CLUB,SOUTHWEST,FEAT,2026-01-03,2026-05-13,0.34,12252,6310,18562,1.515,56479.15,37845.18,18633.97,0.3299,9890.29,1.884,CNCLD,N
PRMO01046,RF01050,ZingEnergy,Sweet Snacks,CLUB,NORTHEAST,TPR,2025-12-26,2026-05-12,0.18,5264,8951,14215,2.701,47676.2,26449.98,21226.22,0.4452,6589.73,3.221,CMPLTD,N
PRMO01047,RF01054,NatureNosh,RTD Juice,ECOMM,MIDWEST,COMBO,2026-03-30,2026-05-15,0.27,3578,784,4362,1.219,8025.13,5394.81,2630.32,0.3278,533.43,4.931,CMPLTD,Y
PRMO01048,RF01038,ZingEnergy,Salty Snacks,GROCERY,NORTHEAST,BOGOF,2026-03-17,2026-05-10,0.17,19602,21673,41275,2.106,161357.54,96355.26,65002.28,0.4028,17353.57,3.746,PNDNG,Y
PRMO01049,RF01054,NatureNosh,RTD Juice,CONV_STORE,MIDWEST,COMBO,2025-09-21,2026-05-12,0.13,15674,22552,38226,2.439,83807.66,51454.37,32353.29,0.386,7388.04,4.379,PNDNG,Y
PRMO01050,RF01055,NatureNosh,RTD Juice,DRUG_STORE,WEST,COMBO,2025-10-16,2026-05-10,0.25,14381,13933,28314,1.969,77936.63,46146.25,31790.38,0.4079,12783.53,2.487,CMPLTD,Y
PRMO01051,RF01028,RefreshCo,Salty Snacks,CONV_STORE,SOUTHEAST,FEAT,2025-10-14,2026-05-13,0.26,18942,30406,49348,2.605,190988.75,105497.11,85491.64,0.4476,41346.08,2.068,CNCLD,Y
PRMO01052,RF01001,ZingEnergy,Carbonated Soft Drinks,CLUB,SOUTHEAST,DISP,2026-05-07,2026-05-10,0.07,18260,21751,40011,2.191,122796.77,80769.5,42027.27,0.3423,5024.48,8.365,CMPLTD,Y
PRMO01053,RF01037,ZingEnergy,Salty Snacks,DRUG_STORE,SOUTHEAST,BOGOF,2025-08-08,2026-05-12,0.31,14854,24420,39274,2.644,87260.76,52123.63,35137.13,0.4027,24376.04,1.441,CMPLTD,Y
PRMO01054,RF01017,ZingEnergy,Energy Drinks,DRUG_STORE,SOUTHWEST,TPR,2025-12-02,2026-05-12,0.11,2795,1964,4759,1.703,19526.36,10997.95,8528.41,0.4368,995.94,8.563,CMPLTD,Y
PRMO01055,RF01014,CrunchBite,Carbonated Soft Drinks,CLUB,WEST,FEAT,2026-02-12,2026-05-13,0.08,19080,21070,40150,2.104,181368.13,112097.74,69270.39,0.3819,8276.3,8.37,CMPLTD,Y
PRMO01056,RF01008,CrunchBite,Carbonated Soft Drinks,GROCERY,SOUTHEAST,DISP,2025-08-23,2026-05-12,0.23,1087,456,1543,1.42,7045.78,4173.24,2872.54,0.4077,621.94,4.619,CMPLTD,Y
PRMO01057,RF01005,CrunchBite,Carbonated Soft Drinks,DRUG_STORE,SOUTHWEST,FEAT,2025-08-27,2026-05-12,0.25,18605,30825,49430,2.657,160895.11,106708.43,54186.68,0.3368,33445.12,1.62,CMPLTD,Y
PRMO01058,RF01014,CrunchBite,Carbonated Soft Drinks,CONV_STORE,WEST,FEAT,2026-01-28,2026-05-13,0.25,13008,2989,15997,1.23,58909.99,32477.04,26432.95,0.4487,3669.0,7.204,PNDNG,N
PRMO01059,RF01056,CrunchBite,RTD Juice,ECOMM,WEST,BOGOF,2025-11-03,2026-05-10,0.07,11429,11528,22957,2.009,78568.34,45687.93,32880.41,0.4185,2969.61,11.072,CMPLTD,Y
PRMO01060,RF01041,SweetWave,Salty Snacks,ECOMM,WEST,FEAT,2025-05-27,2026-05-09,0.24,11743,8036,19779,1.684,52612.57,33828.91,18783.66,0.357,6750.24,2.783,CNCLD,N
PRMO01061,RF01041,SweetWave,Salty Snacks,GROCERY,SOUTHWEST,COMBO,2025-11-13,2026-05-09,0.29,13291,8791,22082,1.661,54876.13,37092.17,17783.96,0.3241,8922.86,1.993,CMPLTD,Y
PRMO01062,RF01014,CrunchBite,Carbonated Soft Drinks,ECOMM,NORTHEAST,BOGOF,2026-04-17,2026-05-10,0.14,4181,4594,8775,2.099,37055.68,24617.23,12438.45,0.3357,3157.92,3.939,CMPLTD,Y
PRMO01063,RF01040,SweetWave,Salty Snacks,MASS_MERCH,WEST,DISP,2025-11-30,2026-05-14,0.31,3130,4671,7801,2.493,9689.54,5604.06,4085.48,0.4216,2606.42,1.567,CMPLTD,Y
PRMO01064,RF01027,NatureNosh,Salty Snacks,GROCERY,WEST,TPR,2026-02-09,2026-05-15,0.3,19816,17589,37405,1.888,98712.39,68774.03,29938.36,0.3033,19893.16,1.505,CMPLTD,Y
PRMO01065,RF01013,RefreshCo,Carbonated Soft Drinks,GROCERY,SOUTHEAST,DISP,2026-03-27,2026-05-13,0.08,10672,2712,13384,1.254,64030.56,42167.92,21862.64,0.3414,1128.19,19.379,PNDNG,Y
PRMO01066,RF01013,RefreshCo,Carbonated Soft Drinks,GROCERY,MIDWEST,FEAT,2026-05-03,2026-05-12,0.15,2768,4757,7525,2.719,33264.04,18489.77,14774.27,0.4442,3710.46,3.982,CMPLTD,Y
PRMO01067,RF01052,RefreshCo,Sweet Snacks,DRUG_STORE,MIDWEST,BOGOF,2025-07-31,2026-05-13,0.23,4270,6914,11184,2.619,24974.75,17062.75,7912.0,0.3168,4611.64,1.716,CMPLTD,Y
PRMO01068,RF01034,NatureNosh,Salty Snacks,CONV_STORE,MIDWEST,FEAT,2026-03-08,2026-05-09,0.26,14329,19493,33822,2.36,30034.32,17588.31,12446.01,0.4144,6081.82,2.046,CMPLTD,N
PRMO01069,RF01044,ZingEnergy,Sweet Snacks,ECOMM,MIDWEST,FEAT,2026-02-19,2026-05-15,0.33,4220,1436,5656,1.34,12429.87,8435.57,3994.3,0.3213,1554.33,2.57,CMPLTD,Y
PRMO01070,RF01045,SweetWave,Sweet Snacks,CLUB,SOUTHWEST,COMBO,2025-05-20,2026-05-11,0.34,4374,607,4981,1.139,12987.39,8930.88,4056.51,0.3123,815.2,4.976,CMPLTD,Y
PRMO01071,RF01055,NatureNosh,RTD Juice,CLUB,NORTHEAST,COMBO,2025-08-07,2026-05-14,0.1,18250,21570,39820,2.182,131528.12,77273.93,54254.19,0.4125,7916.19,6.854,CMPLTD,Y
PRMO01072,RF01008,CrunchBite,Carbonated Soft Drinks,CLUB,SOUTHWEST,DISP,2025-06-10,2026-05-09,0.24,5978,7579,13557,2.268,61101.61,38181.37,22920.24,0.3751,10786.43,2.125,CMPLTD,Y
PRMO01073,RF01056,CrunchBite,RTD Juice,CONV_STORE,SOUTHWEST,BOGOF,2026-03-25,2026-05-10,0.06,13499,23256,36755,2.723,127144.37,73620.77,53523.6,0.421,5134.92,10.423,CMPLTD,Y
PRMO01074,RF01015,RefreshCo,Energy Drinks,CLUB,MIDWEST,COMBO,2026-03-03,2026-05-09,0.24,5559,6812,12371,2.225,21249.22,14627.38,6621.84,0.3116,3694.83,1.792,CMPLTD,Y
PRMO01075,RF01003,SweetWave,Carbonated Soft Drinks,CLUB,SOUTHWEST,FEAT,2025-07-26,2026-05-13,0.06,7594,2797,10391,1.368,40734.04,28270.42,12463.62,0.306,699.81,17.81,CMPLTD,Y
PRMO01076,RF01017,ZingEnergy,Energy Drinks,CONV_STORE,NORTHEAST,FEAT,2025-11-18,2026-05-14,0.33,7270,7604,14874,2.046,45943.79,26266.63,19677.16,0.4283,11567.97,1.701,PNDNG,Y
PRMO01077,RF01025,SweetWave,Energy Drinks,MASS_MERCH,WEST,COMBO,2026-04-30,2026-05-09,0.29,17768,28496,46264,2.604,201027.16,111260.53,89766.63,0.4465,50574.7,1.775,CMPLTD,Y
PRMO01078,RF01001,ZingEnergy,Carbonated Soft Drinks,DRUG_STORE,MIDWEST,FEAT,2025-09-06,2026-05-13,0.3,6685,9661,16346,2.445,37759.66,22252.6,15507.06,0.4107,9564.39,1.621,CMPLTD,Y
PRMO01079,RF01051,ZingEnergy,Sweet Snacks,GROCERY,WEST,BOGOF,2025-08-23,2026-05-13,0.22,12176,2079,14255,1.171,15678.63,9228.07,6450.56,0.4114,644.91,10.002,CMPLTD,N
PRMO01080,RF01017,ZingEnergy,Energy Drinks,CONV_STORE,SOUTHWEST,DISP,2026-01-16,2026-05-11,0.32,7692,1230,8922,1.16,27970.25,16764.93,11205.32,0.4006,1814.5,6.175,CMPLTD,Y
PRMO01081,RF01038,ZingEnergy,Salty Snacks,ECOMM,WEST,DISP,2026-04-01,2026-05-14,0.16,15509,20744,36253,2.338,143435.23,88045.59,55389.64,0.3862,15632.68,3.543,CMPLTD,N
PRMO01082,RF01030,CrunchBite,Salty Snacks,GROCERY,NORTHEAST,DISP,2025-07-28,2026-05-12,0.09,5193,8332,13525,2.605,64987.81,41510.1,23477.71,0.3613,3959.37,5.93,CMPLTD,Y
PRMO01083,RF01043,CrunchBite,Sweet Snacks,ECOMM,WEST,TPR,2026-01-19,2026-05-11,0.18,10079,12409,22488,2.231,50710.94,34601.65,16109.29,0.3177,6142.45,2.623,CMPLTD,Y
PRMO01084,RF01055,NatureNosh,RTD Juice,CONV_STORE,SOUTHEAST,BOGOF,2026-02-11,2026-05-10,0.21,9400,14632,24032,2.557,69676.76,46658.75,23018.01,0.3304,11276.88,2.041,CMPLTD,Y
PRMO01085,RF01043,CrunchBite,Sweet Snacks,CONV_STORE,SOUTHEAST,FEAT,2025-09-25,2026-05-14,0.29,4998,2705,7703,1.541,15041.37,9922.21,5119.16,0.3403,2157.24,2.373,CMPLTD,Y
PRMO01086,RF01005,CrunchBite,Carbonated Soft Drinks,CONV_STORE,SOUTHEAST,DISP,2025-06-06,2026-05-10,0.24,14396,13045,27441,1.906,90513.3,60916.45,29596.85,0.327,13587.67,2.178,CMPLTD,Y
PRMO01087,RF01041,SweetWave,Salty Snacks,CLUB,WEST,COMBO,2025-11-20,2026-05-12,0.28,9383,14728,24111,2.57,60761.05,37100.81,23660.24,0.3894,14433.44,1.639,CMPLTD,Y
PRMO01088,RF01011,NatureNosh,Carbonated Soft Drinks,MASS_MERCH,SOUTHEAST,BOGOF,2026-02-13,2026-05-10,0.33,13044,18474,31518,2.416,91648.95,57758.95,33890.0,0.3698,26458.46,1.281,CMPLTD,Y
PRMO01089,RF01055,NatureNosh,RTD Juice,GROCERY,SOUTHWEST,BOGOF,2025-08-18,2026-05-13,0.1,4630,4610,9240,1.996,30521.58,18496.92,12024.66,0.394,1691.87,7.107,CMPLTD,Y
PRMO01090,RF01050,ZingEnergy,Sweet Snacks,GROCERY,WEST,COMBO,2025-12-17,2026-05-13,0.17,14841,13719,28560,1.924,96954.18,60526.69,36427.49,0.3757,9538.82,3.819,PNDNG,Y
PRMO01091,RF01018,SweetWave,Energy Drinks,MASS_MERCH,NORTHEAST,DISP,2025-11-07,2026-05-10,0.3,10198,10980,21178,2.077,51293.68,31865.77,19427.91,0.3788,11397.24,1.705,CMPLTD,N
PRMO01092,RF01023,RefreshCo,Energy Drinks,MASS_MERCH,WEST,BOGOF,2025-08-31,2026-05-13,0.26,12292,15515,27807,2.262,85808.79,54913.77,30895.02,0.36,16821.36,1.837,CMPLTD,Y
PRMO01093,RF01018,SweetWave,Energy Drinks,ECOMM,SOUTHWEST,DISP,2025-10-01,2026-05-12,0.07,3850,6713,10563,2.744,33992.21,21939.15,12053.06,0.3546,1625.89,7.413,CMPLTD,Y
PRMO01094,RF01054,NatureNosh,RTD Juice,CONV_STORE,SOUTHEAST,FEAT,2025-06-29,2026-05-12,0.24,4860,7012,11872,2.443,22737.69,13953.21,8784.48,0.3863,4240.86,2.071,CMPLTD,Y
PRMO01095,RF01056,CrunchBite,RTD Juice,ECOMM,SOUTHWEST,COMBO,2025-08-10,2026-05-11,0.18,12737,18133,30870,2.424,93155.5,63625.96,29529.54,0.317,12011.3,2.458,CMPLTD,N
PRMO01096,RF01000,ZingEnergy,Carbonated Soft Drinks,MASS_MERCH,NORTHEAST,TPR,2025-10-18,2026-05-09,0.11,2632,2794,5426,2.062,7099.46,4688.91,2410.55,0.3395,451.79,5.336,CMPLTD,Y
PRMO01097,RF01055,NatureNosh,RTD Juice,CONV_STORE,SOUTHEAST,DISP,2025-08-13,2026-05-13,0.25,11724,12644,24368,2.079,67074.88,38453.03,28621.85,0.4267,11600.87,2.467,ACTV,Y
PRMO01098,RF01014,CrunchBite,Carbonated Soft Drinks,DRUG_STORE,WEST,TPR,2025-07-22,2026-05-10,0.23,11004,15547,26551,2.413,100383.4,62432.41,37950.99,0.3781,17557.23,2.162,CMPLTD,Y
PRMO01099,RF01047,SweetWave,Sweet Snacks,GROCERY,MIDWEST,TPR,2026-01-24,2026-05-14,0.29,2615,4506,7121,2.723,7331.67,4993.87,2337.8,0.3189,1894.77,1.234,PNDNG,Y
PRMO01100,RF01004,CrunchBite,Carbonated Soft Drinks,ECOMM,SOUTHWEST,COMBO,2025-09-02,2026-05-15,0.18,11932,18850,30782,2.58,63608.13,37293.55,26314.58,0.4137,8550.36,3.078,PNDNG,Y
PRMO01101,RF01018,SweetWave,Energy Drinks,DRUG_STORE,NORTHEAST,BOGOF,2025-09-27,2026-05-12,0.15,14658,23412,38070,2.597,111966.48,71419.56,40546.92,0.3621,12150.83,3.337,PNDNG,N
PRMO01102,RF01029,SweetWave,Salty Snacks,MASS_MERCH,SOUTHWEST,FEAT,2025-06-23,2026-05-11,0.06,5514,5198,10712,1.943,40178.95,24103.9,16075.05,0.4001,1244.4,12.918,CMPLTD,Y
PRMO01103,RF01010,NatureNosh,Carbonated Soft Drinks,CLUB,SOUTHEAST,BOGOF,2025-11-03,2026-05-10,0.15,18390,27506,45896,2.496,72562.03,44746.62,27815.41,0.3833,7674.17,3.625,CMPLTD,N
PRMO01104,RF01026,CrunchBite,Energy Drinks,CLUB,SOUTHEAST,BOGOF,2026-01-03,2026-05-09,0.3,11517,15300,26817,2.329,49558.72,32081.9,17476.82,0.3526,12117.6,1.442,CMPLTD,Y
PRMO01105,RF01025,SweetWave,Energy Drinks,MASS_MERCH,SOUTHWEST,FEAT,2026-01-17,2026-05-11,0.08,11486,11868,23354,2.033,131497.56,75454.25,56043.31,0.4262,5810.57,9.645,CMPLTD,Y
PRMO01106,RF01038,ZingEnergy,Salty Snacks,ECOMM,NORTHEAST,COMBO,2025-11-14,2026-05-15,0.17,9748,5756,15504,1.591,60613.26,37390.6,23222.66,0.3831,4608.83,5.039,CMPLTD,Y
PRMO01107,RF01051,ZingEnergy,Sweet Snacks,DRUG_STORE,MIDWEST,FEAT,2026-04-03,2026-05-14,0.23,19661,33322,52983,2.695,57524.54,32196.55,25327.99,0.4403,10806.32,2.344,CMPLTD,Y
PRMO01108,RF01021,NatureNosh,Energy Drinks,MASS_MERCH,NORTHEAST,COMBO,2025-12-18,2026-05-11,0.23,4144,6004,10148,2.449,32663.01,18774.1,13888.91,0.4252,5772.25,2.406,CMPLTD,Y
PRMO01109,RF01050,ZingEnergy,Sweet Snacks,DRUG_STORE,MIDWEST,COMBO,2025-09-23,2026-05-12,0.24,9012,8827,17839,1.979,55451.36,36012.58,19438.78,0.3506,8664.58,2.243,CMPLTD,Y
PRMO01110,RF01043,CrunchBite,Sweet Snacks,ECOMM,MIDWEST,DISP,2025-06-16,2026-05-09,0.16,2202,2022,4224,1.918,9758.15,5810.48,3947.67,0.4046,889.68,4.437,CMPLTD,N
PRMO01111,RF01032,ZingEnergy,Salty Snacks,DRUG_STORE,WEST,DISP,2026-02-25,2026-05-10,0.2,18597,16742,35339,1.9,62480.12,37515.74,24964.38,0.3996,7399.96,3.374,CMPLTD,Y
PRMO01112,RF01056,CrunchBite,RTD Juice,CONV_STORE,NORTHEAST,FEAT,2026-01-21,2026-05-13,0.33,2761,2561,5322,1.928,13122.8,8583.49,4539.31,0.3459,3110.08,1.46,CMPLTD,Y
PRMO01113,RF01003,SweetWave,Carbonated Soft Drinks,DRUG_STORE,SOUTHWEST,DISP,2025-12-12,2026-05-11,0.33,2564,734,3298,1.287,9216.94,5958.91,3258.03,0.3535,1010.06,3.226,CNCLD,Y
PRMO01114,RF01004,CrunchBite,Carbonated Soft Drinks,CONV_STORE,SOUTHWEST,BOGOF,2025-11-17,2026-05-12,0.2,9598,12287,21885,2.28,44120.86,25411.07,18709.79,0.4241,6192.65,3.021,CMPLTD,Y
PRMO01115,RF01018,SweetWave,Energy Drinks,CLUB,MIDWEST,COMBO,2026-01-19,2026-05-11,0.17,16984,10620,27604,1.625,79275.15,47511.17,31763.98,0.4007,6246.68,5.085,CMPLTD,Y
PRMO01116,RF01010,NatureNosh,Carbonated Soft Drinks,CLUB,WEST,FEAT,2025-09-02,2026-05-10,0.16,18576,13438,32014,1.723,50019.11,31657.25,18361.86,0.3671,3999.15,4.591,CMPLTD,Y
